Municipio,ibgeID,pop
Angra dos Reis,3300100,203785
Aperibé,3300159,11759
Araruama,3300209,132400
Areal,3300225,12572
Armação dos Búzios,3300233,33870
Arraial do Cabo,3300258,30349
Barra do Piraí,3300308,100374
Barra Mansa,3300407,184412
Belford Roxo,3300456,510906
Bom Jardim,3300506,27446
Bom Jesus do Itabapoana,3300605,37096
Cabo Frio,3300704,226525
Cachoeiras de Macacu,3300803,58937
Cambuci,3300902,15505
Campos dos Goytacazes,3301009,507548
Cantagalo,3301108,20172
Carapebus,3300936,16301
Cardoso Moreira,3301157,12823
Carmo,3301207,18895
Casimiro de Abreu,3301306,44184
Comendador Levy Gasparian,3300951,8561
Conceição de Macabu,3301405,23228
Cordeiro,3301504,21926
Duas Barras,3301603,11492
Duque de Caxias,3301702,919596
Engenheiro Paulo de Frontin,3301801,14002
Guapimirim,3301850,60517
Iguaba Grande,3301876,28310
Itaboraí,3301900,240592
Itaguaí,3302007,133019
Italva,3302056,15207
Itaocara,3302106,23234
Itaperuna,3302205,103224
Itatiaia,3302254,31805
Japeri,3302270,104768
Laje do Muriaé,3302304,7355
Macaé,3302403,256672
Macuco,3302452,5599
Magé,3302502,245071
Mangaratiba,3302601,44468
Maricá,3302700,161207
Mendes,3302809,18614
Mesquita,3302858,176103
Miguel Pereira,3302908,25538
Miracema,3303005,27174
Natividade,3303104,15317
Nilópolis,3303203,162485
Niterói,3303302,513584
Nova Friburgo,3303401,190631
Nova Iguaçu,3303500,821128
Paracambi,3303609,52257
Paraíba do Sul,3303708,44285
Paraty,3303807,43165
Paty do Alferes,3303856,27769
Petrópolis,3303906,306191
Pinheiral,3303955,25156
Piraí,3304003,29277
Porciúncula,3304102,18847
Porto Real,3304110,19683
Quatis,3304128,14302
Queimados,3304144,150319
Quissamã,3304151,24700
Resende,3304201,131341
Rio Bonito,3304300,60201
Rio Claro,3304409,18529
Rio das Flores,3304508,9284
Rio das Ostras,3304524,150674
Rio de Janeiro,3304557,6718903
Santa Maria Madalena,3304607,10404
Santo Antônio de Pádua,3304706,42479
São Fidélis,3304805,38669
São Francisco de Itabapoana,3304755,42205
São Gonçalo,3304904,1084839
São João da Barra,3305000,36102
São João de Meriti,3305109,472406
São José de Ubá,3305133,7171
São José do Vale do Rio Preto,3305158,21795
São Pedro da Aldeia,3305208,104476
São Sebastião do Alto,3305307,9357
Sapucaia,3305406,18228
Saquarema,3305505,89170
Seropédica,3305554,82312
Silva Jardim,3305604,21774
Sumidouro,3305703,15623
Tanguá,3305752,34309
Teresópolis,3305802,182594
Trajano de Moraes,3305901,10626
Três Rios,3306008,81804
Valença,3306107,76523
Varre-Sai,3306156,11000
Vassouras,3306206,36896
Volta Redonda,3306305,273012
